"","name","num_bikes_available","num_ebikes_available","latitude","longitude","total_bikes_available"
"1","Henry Bacon Dr & Lincoln Memorial Circle NW",15,1,38.890539,-77.049383,16
"2","10th St & Spring Rd NW",1,1,38.936228,-77.027163,2
"3","Georgia Ave & Dahlia St NW",3,3,38.976061,-77.026747,6
"4","M St & Pennsylvania Ave NW",19,1,38.905126,-77.056887,20
"5","New York Ave & Hecht Ave NE",7,3,38.915604,-76.983683,10
"6","Hilltop Rd & Willowmere Dr ",3,1,38.876903,-77.241518,4
"7","10th & G St NW",18,4,38.898243,-77.026235,22
"8","14th & D St SE",5,1,38.884058,-76.986385,6
"9","Georgia Ave & Fairmont St NW",1,1,38.924785,-77.022327,2
"10","4th & East Capitol St NE",5,2,38.889955,-77.000349,7
"11","Grandview & Blueridge Ave",10,0,39.043272,-77.053085,10
"12","22nd & H St NW",6,0,38.898925,-77.048852,6
"13","3000 Connecticut Ave NW / National Zoo",1,0,38.930282,-77.055599,1
"14","N Pershing Dr & N Quebec St",4,0,38.874248,-77.104784,4
"15","18th & Upshur St NE",15,0,38.941733,-76.980378,15
"16","Westbranch Dr & Maitland St",1,0,38.927943,-77.220829,1
"17","19th St & Wyoming Ave NW",4,2,38.918777,-77.044415,6
"18","Wilson Blvd & N Quincy St",3,0,38.880012,-77.107854,3
"19","Prince St & Union St",12,6,38.803124,-77.040363,18
"20","Oklahoma Ave & Benning Rd NE",17,2,38.8975,-76.969509,19
"21","Amherst Ave & Elkins St",10,0,39.044887,-77.047788,10
"22","Eden Center",4,0,38.873808,-77.152849,4
"23","Madison St & Fairfax St",9,0,38.812351,-77.040691,9
"24","South Lakes Dr and Reston Pkwy",8,0,38.94335,-77.362304,8
"25","15th & K St NW",9,2,38.902,-77.03353,11
"26","Langston Blvd & N Woodstock St",2,2,38.898301,-77.118009,4
"27","White Oak Rec Center",3,0,39.046144,-76.975723,3
"28","55th & East Capitol St NE",3,0,38.889926,-76.922783,3
"29","17th & G St NW",21,2,38.898301,-77.039643,23
"30","Tyco Rd & Boyd Pointe Way",12,0,38.930767,-77.241436,12
"31","Veterans Pl & Pershing Dr ",5,3,38.997445,-77.023894,8
"32","Sunrise Valley Dr & Roland Clarke Pl",6,0,38.949366,-77.350396,6
"33","Arizona Ave & MacArthur Blvd NW",10,2,38.927294,-77.103662,12
"34","School St & George Mason Blvd",3,0,38.837382,-77.30938,3
"35","Temporary Rd & Old Reston Ave",7,0,38.960084,-77.353414,7
"36","South Dakota Ave & Bladensburg Rd NE",9,1,38.9252,-76.964896,10
"37","Potomac Yard Metro South",7,2,38.833437,-77.047846,9
"38","King St & Kenwood Ave",1,0,38.824793,-77.085066,1
"39","Madison St & N Henry St",5,0,38.813485,-77.049468,5
"40","Park Pl & Rock Creek Church Rd NW",9,2,38.937135,-77.019125,11
"41","19th & Savannah St SE",6,0,38.84623,-76.97703,6
"42","Mount Vernon Ave & Kennedy St",11,0,38.833077,-77.059821,11
"43","King St & Patrick St",13,6,38.805317,-77.049883,19
"44","25th St & Pennsylvania Ave NW",14,0,38.903827,-77.053485,14
"45","Chillum Rd & Riggs Rd / Riggs Plaza",0,0,38.961737,-76.995922,0
"46","Fairfax Dr & N Randolph St",4,0,38.882629,-77.109366,4
"47","Duke St & Jordan St",10,0,38.812187,-77.10994,10
"48","19th & E Street NW",8,0,38.895734,-77.043368,8
"49","16th & Q St SE / Anacostia HS",6,1,38.870695,-76.982359,7
"50","3rd St & Pennsylvania Ave SE",11,1,38.887378,-77.001955,12
"51","3rd & H St NE",13,2,38.900412,-77.001949,15
"52","15th & F St NE",11,1,38.897195,-76.983575,12
"53","Oglethorpe St & 42nd Ave",5,0,38.959361,-76.946361,5
"54","E Fairfax St & S Washington St",7,1,38.880612,-77.171891,8
"55","Langston Blvd & N Adams St",7,1,38.89593,-77.089006,8
"56","New Jersey Ave & K St NW",3,0,38.902571,-77.013667,3
"57","John McCormack Rd NE",3,0,38.938889,-76.997226,3
"58","Reed & Edison",5,0,38.83728,-77.060899,5
"59","1st & Washington Hospital Center NW",0,0,38.928743,-77.012457,0
"60","Nannie Helen Burroughs & Minnesota Ave NE",4,0,38.901385,-76.941877,4
"61","Merrilee Dr & Lauren Elizabeth Lane",6,0,38.878572,-77.230766,6
"62","D St & Maryland Ave NE",2,2,38.894841,-76.995916,4
"63","Joliet St & MLK Ave SW/Bald Eagle Rec Ctr",2,2,38.81909,-77.01033,4
"64","New Hampshire Ave & 24th St NW",8,0,38.901755,-77.051084,8
"65","39th St & Tunlaw Rd NW",2,0,38.9257,-77.079119,2
"66","N Lynn St & Fairfax Dr",10,0,38.89386,-77.070862,10
"67","Emma Lee St & Morris St",5,2,38.877818,-77.209421,7
"68","5th St & Massachusetts Ave NW",13,5,38.90093,-77.018677,18
"69","1301 McCormick Dr / Wayne K. Curry Admin Bldg",4,0,38.908391,-76.843263,4
"70","Walker Mill Road/ Walker Mill Regional Park ",5,0,38.875772,-76.868767,5
"71","Golf Course Sq and Golf Course Dr",3,0,38.944013,-77.353552,3
"72","Wheaton Metro / Georgia Ave & Reedie Dr",1,0,39.038424,-77.05102,1
"73","17th St & Massachusetts Ave NW",6,2,38.908568,-77.038542,8
"74","Bethesda Metro / Wisconsin Ave & Old Georgetown Rd",7,2,38.984691,-77.094537,9
"75","Central Library / Quincy St & 10th St N",4,1,38.88397,-77.10783,5
"76","37th & Ely Pl SE",1,0,38.883132,-76.950009,1
"77","S Randolph St & Campbell Ave",13,3,38.840654,-77.088659,16
"78","Vaden Dr & Royal Victoria Dr/Jim Scott Cmty Ctr",0,0,38.873261,-77.272999,0
"79","Fenton St & Gist Ave",7,2,38.989724,-77.023854,9
"80","North Village and Park Garden",9,0,38.983199,-77.341823,9
"81","Columbia Rd & Georgia Ave NW",3,2,38.928121,-77.023795,5
"82","61st St & Banks Pl NE",0,0,38.891805,-76.913563,0
"83","1st & H St NW",9,1,38.900358,-77.012108,10
"84","Connecticut Ave & McKinley St NW",16,4,38.964544,-77.075135,20
"85","Roosevelt Center & Crescent Rd",5,0,39.00031,-76.878005,5
"86","Langston Blvd & N Kirkwood Rd",13,1,38.895377,-77.09713,14
"87","WAU / Flower Ave & Division St",4,1,38.986743,-77.000035,5
"88","Kingman Island/The Fields at RFK",13,1,38.895955,-76.967845,14
"89","Soapstone Dr Convenience Center",5,0,38.93051,-77.345874,5
"90","47th & Elm St",5,0,38.982456,-77.091991,5
"91","10th St & L'Enfant Plaza SW",4,1,38.884323,-77.02601,5
"92","Virginia Square Metro / Monroe St & 9th St N",11,2,38.882788,-77.103148,13
"93","Smithsonian-National Mall / Jefferson Dr & 12th St SW",23,0,38.888774,-77.028694,23
"94","Rhode Island Ave Metro",3,0,38.920682,-76.995876,3
"95","16th & R St NW",14,4,38.912652,-77.036278,18
"96","8th & H St NE",10,3,38.899942,-76.994897,13
"97","7th & F St NW / National Portrait Gallery",28,1,38.897283,-77.022191,29
"98","Fenton St & New York Ave ",3,0,38.985404,-77.023082,3
"99","Garland Ave & Walden Rd",12,2,39.00048,-77.00077,14
"100","Lincoln Memorial",14,6,38.888255,-77.049437,20
"101","Gallaudet / 8th St & Florida Ave NE",8,0,38.90509,-76.9941,8
"102","31st St & S Woodrow St",0,0,38.837846,-77.093478,0
"103","Braddock Rd Metro North",6,0,38.814577,-77.052808,6
"104","Marymount University / Yorktown Blvd & 26th St N",1,1,38.904252,-77.127776,2
"105","Offutt Ln & Chevy Chase Dr",2,2,38.977093,-77.094589,4
"106","1st & Q St SW",5,1,38.870824,-77.011915,6
"107","Crescent Rd & Ridge Rd",3,0,39.006191,-76.891247,3
"108","12th & L St NW",2,0,38.903819,-77.0284,2
"109","Kansas Ave & Tuckerman St NW / Lamond Rec ",8,0,38.967492,-77.007003,8
"110","New Dominion Pkwy & Fountain Dr",6,0,38.960574,-77.356324,6
"111","Livingston Rd & 3rd St SE",5,0,38.82373,-77.00223,5
"112","Columbia Pike & S Highland St",0,0,38.862398,-77.089133,0
"113","Reservoir Rd & 38th St NW",0,0,38.912614,-77.074323,0
"114","Route 29 & Bisvey Dr",4,1,38.876912,-77.195847,5
"115","Market St & St Francis St",8,0,38.95866,-77.361516,8
"116","St Asaph & Pendleton St",9,1,38.810741,-77.044633,10
"117","Frederick Ave & Horners Ln",3,0,39.094772,-77.145213,3
"118","2nd St & Massachusetts Ave NE",8,1,38.894972,-77.003135,9
"119","Commonwealth and Reed",14,4,38.836838,-77.057274,18
"120","Vantage Hill Rd & Wainwright Dr",1,0,38.9667,-77.348487,1
"121","Montello Ave & Holbrook Terr NE",6,2,38.907444,-76.986813,8
"122","8th & D St NW",10,1,38.894851,-77.02324,11
"123","Connecticut Ave & R St NW",12,8,38.912644,-77.04564,20
"124","East Falls Church Metro / Sycamore St & 19th St N",13,0,38.885321,-77.156427,13
"125","Georgia & Missouri Ave NW",3,2,38.961339,-77.027855,5
"126","S Washington St & Wilkes St",11,1,38.800703,-77.048043,12
"127","The Mall at Prince Georges",9,1,38.968842,-76.954171,10
"128","Silver Spring Transit Center - Top Level",7,2,38.994035,-77.030371,9
"129","Blenheim Blvd & North St",9,0,38.846972,-77.303349,9
"130","North Shore & Cameron Crescent Dr/Crescent Apartments",1,0,38.970046,-77.338686,1
"131","North Capitol St & G Pl NE",17,0,38.899703,-77.008911,17
"132","Monroe St & Monroe Pl",5,0,39.083673,-77.149162,5
"133","Reston Town Center Metro North",3,1,38.953691,-77.359717,4
"134","Waterfront Park",16,0,38.874821,-77.020788,16
"135","S Arlington Mill Dr & Campbell Ave",14,0,38.84232,-77.089555,14
"136","Mount Vernon Ave & Four Mile Run Park",14,1,38.843422,-77.064016,15
"137","Broad Branch Rd & Northampton St NW",16,1,38.965775,-77.068626,17
"138","New Hampshire & Kirklynn Ave",7,1,38.988101,-76.988422,8
"139","Commerce St & Fayette St",5,1,38.805648,-77.05293,6
"140","19th St N & Ft Myer Dr",12,0,38.897218,-77.072143,12
"141","Lincoln Park / 13th & East Capitol St NE ",13,3,38.890461,-76.988355,16
"142","Van Dorn Metro",2,1,38.800077,-77.129943,3
"143","Pentagon City Metro / 12th St & S Hayes St",3,0,38.862303,-77.059936,3
"144","14th & Upshur St NW",1,1,38.942475,-77.032678,2
"145","Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center",3,2,38.915,-77.0078,5
"146","12th & U St NW",11,1,38.916787,-77.028139,12
"147","4th & Florida Ave NE",7,1,38.907316,-77.000698,8
"148","Yuma St & Tenley Circle NW",0,0,38.946182,-77.08059,0
"149","Clarendon Blvd & Pierce St",2,0,38.893438,-77.076389,2
"150","2nd & G St NE",19,1,38.89967,-77.003666,20
"151","Dorr Ave & Prosperity Ave",4,0,38.879256,-77.233583,4
"152","Columbia Rd & Belmont St NW",4,4,38.920669,-77.04368,8
"153","McLean Metro",10,1,38.924002,-77.208127,11
"154","Anacostia Ave & Benning Rd NE / River Terrace ",5,0,38.896544,-76.96012,5
"155","3rd & G St SE",8,2,38.881185,-77.001828,10
"156","Route 29 & Circle Woods Dr",4,0,38.869114,-77.271538,4
"157","Columbia Pike & S Orme St",4,2,38.867262,-77.072315,6
"158","7th & R St NW / Shaw Library",1,0,38.912719,-77.022155,1
"159","Mt Vernon Trail & S. Washington St.",10,3,38.793065,-77.049436,13
"160","14th & Otis Pl NW",10,6,38.934405,-77.032687,16
"161","7th & Monroe St NE",3,2,38.932243,-76.996133,5
"162","N Shore Dr & Bandit Loop",10,0,38.95937,-77.331794,10
"163","Army Navy Dr & Fern St",10,2,38.864838,-77.056873,12
"164","1st & D St SE",0,0,38.884916,-77.005965,0
"165","Shady Grove Metro West",1,0,39.119765,-77.166093,1
"166","Reston Town Center Metro South",1,0,38.9523,-77.361466,1
"167","Becontree Ln & Goldenrain Ct",4,0,38.966848,-77.329282,4
"168","W&OD Trail/Sunset Hills Rd & Isaac Newton Sq",10,0,38.951419,-77.340281,10
"169","Washington & Independence Ave SW/HHS",20,0,38.886978,-77.013769,20
"170","5th & Kennedy St NW",2,2,38.956556,-77.019814,4
"171","Calvert & Biltmore St NW",2,2,38.923203,-77.047637,4
"172","S Maple Ave & S Washington St",7,2,38.87972,-77.178408,9
"173","Franconia-Springfield Metro North",2,0,38.766946,-77.168902,2
"174","N Shore Dr & Wainwright Dr",6,0,38.963782,-77.349764,6
"175","15th & Euclid St NW",10,10,38.92333,-77.0352,20
"176","Wilson Blvd & N Oak St",7,0,38.895068,-77.07386,7
"177","N Howard St & Taney Ave",2,1,38.815842,-77.110014,3
"178","Constitution Ave & 2nd St NW/DOL",12,0,38.892275,-77.013917,12
"179","53rd & D St SE/C.W. Harris Elementary",4,1,38.883318,-76.925315,5
"180","16th St & North Carolina Ave NE",3,1,38.893062,-76.982464,4
"181","N Hampton Dr & Ford Ave",5,1,38.837306,-77.106111,6
"182","17th St & Independence Ave SW",8,1,38.888097,-77.038325,9
"183","Columbus Circle / Union Station",45,0,38.89696,-77.00493,45
"184","Spring Hill Metro",4,0,38.929261,-77.240654,4
"185","Prince George's Plaza Metro",1,1,38.965742,-76.954803,2
"186","White Oak Transit Center",2,1,39.04104,-76.987125,3
"187","6th & K St NE",6,1,38.902932,-76.998405,7
"188","Madron Ln & Bermudez Ct",9,2,38.904415,-77.221807,11
"189","Minnesota Ave Metro/DOES",7,0,38.897063,-76.947446,7
"190","Whitehaven Pkwy & Foxhall Rd NW / GWU Mt. Vernon",6,3,38.916501,-77.090911,9
"191","S Wakefield St & 28th St S",13,0,38.84404,-77.098093,13
"192","Independence Ave & L'Enfant Plaza SW/DOE",16,5,38.887332,-77.026141,21
"193","18th St & Ingleside Ter NW",1,0,38.934784,-77.041362,1
"194","Falls Church City Hall / Park Ave & Little Falls St",2,0,38.885434,-77.173605,2
"195","King St & N Pitt St",10,6,38.804801,-77.044676,16
"196","10th & Monroe St NE",8,0,38.932457,-76.993534,8
"197","New Hampshire Ave & Ward Pl NW",12,0,38.905711,-77.047318,12
"198","Columbia Pike & S Walter Reed Dr",0,0,38.862478,-77.086599,0
"199","N Veitch St & Key Blvd",2,1,38.893237,-77.086063,3
"200","S Clark St & 33rd St",11,2,38.845028,-77.051956,13
"201","Prosperity Ave & Avenir Pl",1,0,38.881436,-77.230377,1
"202","Norfolk & Rugby Ave",0,0,38.990639,-77.100239,0
"203","MBT & Bryant St NE",3,2,38.922404,-76.996023,5
"204","13th & E St SE",9,0,38.882915,-76.987907,9
"205","Fair Woods Pkwy & Fairfax Blvd",9,0,38.862804,-77.293922,9
"206","Columbia Pike & S Courthouse Rd",2,0,38.863833,-77.080319,2
"207","6th St & Indiana Ave NW",9,0,38.894573,-77.01994,9
"208","N Pershing Dr & N George Mason Dr",0,0,38.871822,-77.107906,0
"209","18th & M St NW",24,5,38.905067,-77.041779,29
"210","Fillmore & Bisdorf",0,0,38.83863,-77.116206,0
"211","Greenbelt Station Parkway",4,0,39.002459,-76.916243,4
"212","14th & Belmont St NW",2,2,38.921074,-77.031887,4
"213","Montgomery Ave & Waverly St ",3,1,38.983838,-77.09221,4
"214","New Hampshire Ave & East-West Hwy",5,1,38.974205,-76.995227,6
"215","Benning Branch Library",3,1,38.894,-76.947974,4
"216","Bethesda Ave & Arlington Rd",1,1,38.981103,-77.097426,2
"217","14th & Quincy St NW",1,1,38.938024,-77.032688,2
"218","Potomac Ave & 35th St S",4,1,38.844015,-77.050537,5
"219","Western Ave & Pinehurst Cir NW ",3,1,38.975739,-77.066409,4
"220","16th & Harvard St NW",1,0,38.926102,-77.03665,1
"221","American University East Campus",1,1,38.936298,-77.087128,2
"222","23rd St S & Hayes St",7,2,38.853002,-77.059496,9
"223","Kenilworth Terr & Hayes St. NE",9,1,38.900468,-76.947287,10
"224","Eastern Market / 7th & North Carolina Ave SE",11,2,38.886952,-76.996806,13
"225","Connecticut Ave & Ordway St NW / Cleveland Park Metro ",1,1,38.935842,-77.058468,2
"226","New Jersey Ave & H St SE",6,4,38.880761,-77.005741,10
"227","2nd St & Seaton Pl NE",2,1,38.914751,-77.00356,3
"228","Fairfax Dr & N Taylor St",4,0,38.882425,-77.112754,4
"229","Kenmore Ave & Seminary Rd",8,0,38.828887,-77.110588,8
"230","17th & Upshur St NW",1,1,38.942146,-77.038684,2
"231","7th & K St NW",6,1,38.902674,-77.021392,7
"232","9th & Upshur St NW",2,1,38.9418,-77.0251,3
"233","Arlington Blvd & Fairfax Dr",2,1,38.886256,-77.084262,3
"234","Wilson Blvd & N Edgewood St",6,1,38.889396,-77.091862,7
"235","1st & N St SE",28,0,38.875023,-77.005754,28
"236","5th & F St NW",22,2,38.897222,-77.019347,24
"237","Northwestern High School",12,3,38.975505,-76.952199,15
"238","1st St & Potomac Ave SE",8,0,38.871841,-77.00591,8
"239","Michigan Ave & Allison St NE",14,1,38.945068,-76.978783,15
"240","Mount Vernon Ave & E Nelson Ave",5,1,38.820064,-77.057619,6
"241","48th Pl & MacArthur Blvd NW",16,6,38.916561,-77.095513,22
"242","Langston Blvd & N Cleveland St",2,2,38.894941,-77.09169,4
"243","13th & U St NW",4,1,38.916936,-77.029631,5
"244","Lamont & Mt Pleasant NW",2,1,38.9319,-77.0388,3
"245","21st St & Pennsylvania Ave NW",6,5,38.901539,-77.046564,11
"246","24th St & Rhode Island Ave NE",15,2,38.930774,-76.972851,17
"247","13th St & New York Ave NW",23,0,38.900283,-77.029822,23
"248","Long Bridge Park / Long Bridge Dr & 6th St S",14,1,38.865553,-77.05003,15
"249","Chain Bridge Rd & Anderson Rd",5,2,38.925572,-77.204762,7
"250","L'Enfant Plaza / 7th & C St SW",7,2,38.886266,-77.022241,9
"251","Jefferson Dr & 14th St SW",18,0,38.888553,-77.032427,18
"252","Windham Ln & Amherst Ave",10,0,39.032029,-77.04735,10
"253","Kansas Ave & Longfellow St NW",5,0,38.958098,-77.013821,5
"254","Wisconsin Ave & Ingomar St NW",0,0,38.958267,-77.084636,0
"255","22nd & I St NW / Foggy Bottom",14,2,38.90088,-77.048911,16
